Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycling_Metal,Recycling_Paper,Recycling_Plastic,Cooking_Grill,Cooking_Microwave,Cooking_Oven,Cooking_Stove
1,0,2,0,2,1,4,2,189,2,582,2,4,24,43,0,2,2498,0,0,1,1,1,0,0
1,0,1,2,1,1,4,2,157,2,736,2,4,7,12,18,1,1926,1,0,1,1,1,0,0
2,1,2,2,2,1,4,2,73,1,1486,3,6,7,31,21,0,2453,1,1,1,1,0,0,0
2,1,3,2,0,0,1,2,53,0,6296,1,3,10,17,1,2,1452,0,0,1,0,1,0,1
1,0,0,0,2,0,0,2,235,2,4812,3,1,6,19,17,0,3286,1,0,0,1,0,0,1
1,1,0,3,2,0,3,0,134,3,7768,3,4,14,21,11,1,6170,1,0,1,0,0,0,0
0,0,3,2,3,0,2,1,167,3,1083,0,3,22,18,20,2,2307,1,0,0,0,1,1,0
3,1,2,1,0,0,0,2,284,1,2644,2,1,19,30,14,1,2395,1,0,0,1,1,0,0
1,1,2,0,3,1,4,0,66,0,952,0,6,13,10,13,0,1201,0,0,1,1,1,0,1
3,1,0,2,0,0,1,1,181,1,5209,2,3,1,6,7,1,1452,1,0,0,0,1,0,1
2,0,3,3,2,2,4,2,92,3,13,0,6,15,4,22,0,2238,1,0,0,0,0,1,1
2,0,2,1,3,2,4,2,71,3,40,2,7,19,48,1,2,3357,0,0,1,0,1,1,0
3,0,2,1,2,2,4,2,80,1,29,2,3,13,42,24,0,1576,0,1,1,1,1,0,1
2,0,2,1,3,1,4,0,129,2,512,0,7,3,42,18,0,2133,0,0,0,1,0,1,0
0,0,1,3,2,1,4,1,260,1,1742,1,2,9,50,21,2,1631,1,1,0,0,1,1,1
3,0,0,1,0,0,5,1,295,1,6364,3,5,9,50,5,2,3996,0,1,1,1,0,0,1
1,0,0,1,0,1,4,1,217,2,317,1,2,14,50,5,2,2616,1,0,0,0,1,0,0
3,0,1,0,3,0,2,1,193,0,6477,0,5,6,23,24,2,1765,1,0,1,1,0,0,0
3,1,1,1,2,1,4,1,198,0,709,1,1,9,36,6,0,1385,0,0,1,1,0,1,1
0,1,2,0,1,0,2,0,221,2,2188,1,6,20,18,16,1,2071,0,0,1,0,0,1,1
2,0,0,0,1,2,4,0,172,0,28,2,7,1,41,12,0,1735,0,1,0,1,0,1,0
2,1,2,0,1,1,4,0,229,0,1285,0,5,14,29,6,2,895,1,1,0,0,0,0,1
2,1,1,1,1,2,4,1,231,1,93,3,1,1,10,15,2,1041,0,0,0,0,0,0,1
0,0,2,3,2,1,4,0,297,0,980,3,6,14,46,19,2,1933,0,1,0,1,1,0,0
0,0,2,1,3,1,4,2,237,3,1514,2,5,20,38,14,1,2529,1,1,1,0,0,0,1
3,0,1,3,1,1,4,2,224,1,1145,0,1,7,37,9,0,1174,1,1,0,1,1,0,1
1,1,1,2,2,2,4,0,101,3,39,2,1,19,34,17,0,3080,0,1,0,1,1,1,1
3,0,2,3,2,0,2,0,71,3,320,1,4,23,28,3,2,1797,1,1,0,0,0,0,1
3,0,2,2,2,1,4,0,178,0,1852,3,4,16,39,21,1,1657,0,0,0,1,1,1,1
3,1,3,2,2,2,4,0,236,2,19,2,3,8,23,7,1,1747,0,1,0,0,0,0,0
2,1,2,1,2,1,4,1,127,3,412,3,6,14,29,13,2,3386,0,1,0,1,0,0,1
2,0,1,0,3,0,5,0,92,0,4413,1,3,15,21,18,2,2554,0,0,1,0,0,1,0
0,1,1,2,0,1,4,2,256,0,1407,2,7,12,46,20,1,2534,1,1,0,1,1,0,0
3,0,1,1,2,1,4,0,286,0,316,1,1,18,15,16,0,830,1,0,1,0,0,1,0
1,0,3,2,0,1,4,0,137,3,1844,0,1,22,20,22,1,2676,1,0,0,0,0,0,1
3,1,1,0,1,1,4,2,250,2,743,1,4,11,48,6,2,2364,0,0,0,1,0,0,1
2,1,3,2,0,2,4,1,259,2,67,0,5,8,49,8,0,2610,1,1,0,0,0,0,0
3,1,1,2,1,1,4,0,177,3,1231,2,4,6,24,7,2,2393,1,0,0,0,0,1,1
1,1,0,2,3,1,4,2,188,0,937,3,4,11,27,12,1,2141,1,1,1,1,0,1,1
1,1,2,3,3,2,4,1,148,1,25,2,5,19,29,19,2,2186,1,0,0,1,1,1,1
0,0,1,3,2,1,4,2,112,1,228,0,2,2,44,14,2,1339,0,1,0,0,1,0,0
0,1,1,3,2,0,2,2,81,3,6386,3,5,19,14,24,0,4046,1,1,0,0,1,1,0
3,0,1,1,1,0,3,2,73,3,62,1,6,1,46,1,2,2225,1,0,0,0,0,1,0
2,1,1,0,3,0,5,1,292,2,4689,0,7,4,43,6,1,4429,0,1,0,0,0,0,1
3,0,2,2,2,0,3,2,110,1,5739,2,4,10,48,0,0,2819,1,1,0,1,1,1,1
3,0,2,1,2,2,4,0,193,2,50,3,6,19,14,12,1,1724,0,1,1,1,1,0,0
3,0,1,3,2,1,4,2,92,0,445,2,3,10,22,6,1,1165,0,1,0,1,1,0,1
2,1,1,0,3,2,4,2,97,3,61,2,2,11,18,2,2,2377,1,1,0,0,1,0,1
3,0,2,1,3,2,4,1,267,2,8,0,6,8,35,15,1,1656,1,1,0,1,1,1,1
0,0,2,2,3,1,4,1,217,2,1646,1,7,0,33,23,0,2071,0,1,1,1,1,0,0
1,0,3,0,2,0,0,0,244,3,6640,2,6,12,39,9,2,5031,0,0,0,0,0,0,1
3,0,1,3,1,2,4,2,149,1,31,3,4,8,32,3,2,1204,1,1,1,0,1,1,1
1,0,0,0,1,1,4,0,262,2,529,0,3,4,47,20,1,2311,0,1,0,1,1,0,1
0,0,3,2,2,1,4,1,135,1,315,2,4,8,26,9,1,1366,1,0,0,0,1,1,0
3,0,1,3,3,2,4,2,219,0,19,3,2,16,31,17,0,1433,0,1,0,1,1,1,0
2,0,1,1,3,1,4,0,83,2,959,2,7,3,4,20,2,1802,1,0,0,0,0,0,0
2,1,2,2,2,0,1,2,80,2,9345,3,3,0,47,7,0,2658,0,1,1,1,0,1,0
0,0,0,2,0,2,4,2,83,0,92,1,7,2,16,17,1,1277,1,1,1,0,1,0,0
0,1,3,0,3,0,2,0,87,1,2129,3,2,22,33,5,2,1777,1,0,0,1,1,0,1
2,1,3,0,1,2,4,0,161,3,61,1,5,4,32,3,0,2627,0,1,0,0,1,1,1
2,1,3,0,2,2,4,1,270,1,84,2,7,9,31,14,0,2268,0,1,0,1,1,1,1
2,1,3,0,3,0,3,0,277,2,9940,1,5,18,33,13,1,5486,0,0,1,1,1,0,0
0,0,0,3,2,1,4,2,229,2,1406,0,4,0,17,21,2,1972,0,0,0,1,1,0,1
1,0,1,3,3,2,4,1,127,1,82,3,2,14,25,1,1,1239,1,1,1,0,0,0,0
3,0,0,3,3,0,2,2,273,3,5030,2,5,17,32,7,2,3251,1,1,1,0,0,0,1
0,1,1,0,3,0,0,2,170,3,668,0,5,17,22,20,1,2559,1,1,1,0,0,0,0
3,1,3,1,3,0,1,1,106,3,3573,0,2,23,35,6,1,2440,1,0,0,1,1,1,1
1,0,0,1,3,0,1,0,51,0,7189,0,4,3,7,21,1,746,0,1,1,0,0,1,0
1,0,1,0,1,0,0,1,134,3,7921,3,6,2,35,15,1,5093,1,1,0,0,0,1,1
2,1,2,0,0,0,0,1,188,0,4543,0,3,16,23,1,1,2647,0,0,1,0,0,0,1
2,1,2,2,3,0,1,1,52,1,7150,3,6,19,37,16,2,2379,1,0,0,0,1,0,1
2,1,0,1,3,0,3,0,156,2,9076,0,1,12,35,24,1,5065,0,0,0,1,0,1,0
1,0,0,1,1,1,4,1,229,3,728,2,4,12,13,2,1,2471,1,1,1,1,1,1,1
3,0,2,1,3,1,4,2,262,0,1846,0,4,11,43,14,0,1376,0,0,1,0,0,0,1
1,1,0,2,1,0,0,2,157,3,1297,3,6,0,22,11,0,3970,0,1,1,1,0,0,0
1,0,0,1,1,1,4,0,241,3,829,3,1,0,30,11,1,2770,0,0,0,0,1,1,0
2,1,1,3,1,2,4,0,137,0,55,2,7,7,5,17,0,1359,0,0,0,0,1,0,0
1,0,3,1,2,1,4,2,107,3,1883,1,7,0,34,1,0,3139,0,0,1,0,0,0,0
2,0,0,3,3,1,4,1,70,1,463,0,2,7,50,0,1,1471,1,0,0,0,0,0,0
0,0,2,2,3,1,4,1,119,2,1601,1,6,7,8,5,0,1615,0,0,1,0,0,0,1
2,1,0,3,2,1,4,1,96,0,30,2,3,14,23,16,1,1526,1,0,1,1,1,1,1
2,1,3,2,3,0,0,2,299,1,2136,3,7,3,34,0,0,3381,0,0,0,1,1,0,0
0,1,0,0,0,1,4,1,244,3,273,2,5,2,19,11,2,3184,0,0,0,1,1,0,0
2,1,3,0,3,2,4,0,115,3,81,3,7,4,35,0,1,3512,1,0,0,1,1,1,1
3,1,1,0,3,1,4,1,205,3,1295,2,7,6,11,20,1,3009,0,0,0,0,1,1,1
3,0,2,0,2,1,4,0,266,0,1947,2,1,24,32,20,2,1275,0,0,0,1,0,1,0
3,0,1,3,0,1,4,0,145,3,243,3,7,15,37,17,2,3007,0,0,0,0,1,0,0
0,0,0,3,0,2,4,0,131,2,0,1,2,10,17,22,1,1465,1,1,1,1,0,0,1
0,1,3,2,0,2,4,2,123,0,76,0,3,3,46,24,2,1822,0,0,0,0,0,0,0
0,1,1,0,0,1,4,1,171,1,922,2,6,5,16,22,1,1992,0,0,0,0,1,1,1
1,1,2,3,3,2,4,2,214,3,30,1,7,2,22,23,0,3294,1,1,0,0,0,0,0
2,0,3,1,2,1,4,2,141,1,396,1,5,17,3,6,2,1303,0,0,1,0,1,0,1
2,0,1,1,1,1,4,0,103,1,1894,2,5,5,0,6,0,1156,0,0,0,1,1,0,1
3,0,0,1,3,0,5,1,98,2,9787,1,4,21,12,12,0,4547,0,0,1,0,1,1,1
1,0,2,3,3,0,1,2,123,2,4211,0,3,4,32,12,2,1960,1,0,1,1,0,0,1
0,1,2,1,3,2,4,2,240,3,37,3,2,9,34,16,0,2624,1,1,1,0,0,1,1
1,0,0,3,0,0,1,2,184,0,4628,2,4,15,25,16,0,2020,1,0,0,1,0,1,0
1,1,2,3,0,1,4,2,273,2,1249,0,2,0,42,16,1,2873,0,0,0,0,1,1,1
1,0,3,3,2,0,0,1,78,2,5744,2,7,1,27,13,2,3891,0,1,0,0,0,1,0
0,0,1,1,3,2,4,1,78,0,18,1,4,20,50,6,0,1271,1,1,0,1,0,0,1
3,1,2,1,0,1,4,0,117,1,1958,2,1,4,41,4,2,1603,0,0,1,0,1,1,0
3,0,1,1,1,2,4,1,54,3,74,2,2,7,19,16,1,1760,0,0,1,1,0,0,0
1,0,0,0,2,2,4,2,217,2,36,2,6,1,43,8,2,2881,1,0,0,1,1,1,1
1,1,1,2,2,2,4,1,179,0,24,2,4,24,37,0,0,1939,1,0,0,1,0,0,1
2,1,1,2,2,2,4,0,266,2,77,0,2,6,30,19,1,2118,0,1,0,0,1,1,1
3,1,2,2,3,1,4,0,265,2,1402,2,5,17,40,10,2,1980,1,1,1,1,1,1,0
0,1,1,3,2,0,2,0,214,0,3051,1,4,15,35,1,1,1818,1,0,0,1,1,1,0
3,0,0,3,0,1,4,1,117,0,201,2,7,3,26,13,1,1632,1,0,1,1,1,0,1
3,1,0,1,2,1,4,1,207,0,1274,1,6,2,39,20,2,1764,0,1,1,1,0,1,1
3,0,0,2,0,2,4,0,248,0,95,0,1,2,5,1,0,1089,0,0,0,1,0,1,1
0,0,3,0,0,2,4,2,96,0,32,2,6,2,38,12,0,1753,0,0,1,0,1,0,1
1,1,0,0,3,1,4,2,233,2,481,3,5,11,37,8,0,3244,1,1,0,1,1,1,0
0,1,0,0,3,0,3,0,183,2,4431,1,2,10,26,12,0,3187,1,0,0,0,1,1,1
2,0,1,1,3,0,3,0,179,2,8288,0,2,21,31,22,1,3942,0,1,1,1,0,0,1
2,0,3,2,3,2,4,2,197,3,74,1,7,14,14,18,1,2502,1,1,1,0,1,0,1
2,1,3,3,2,2,4,2,181,0,12,3,6,8,4,5,1,1648,1,0,1,1,1,0,0
0,1,3,3,3,1,4,2,139,0,689,3,7,20,1,19,0,1617,1,1,0,0,1,0,0
2,0,3,2,1,1,4,2,93,0,1915,0,7,16,16,7,2,776,1,1,1,0,0,0,0
0,1,3,2,1,1,4,1,297,0,577,0,1,19,13,2,2,524,1,1,0,1,0,0,1
2,1,0,0,3,0,0,1,273,2,4673,2,2,0,47,12,1,4144,0,0,1,1,1,0,1
3,1,2,2,0,1,4,0,179,3,272,1,1,22,49,2,2,2478,1,0,1,0,1,0,0
0,0,0,1,2,0,2,0,287,2,3361,2,2,22,49,23,2,2619,1,1,1,1,1,1,0
0,0,3,1,0,2,4,1,80,2,15,1,5,13,34,20,2,1951,0,1,0,1,0,0,0
0,0,1,0,3,0,1,1,156,1,6754,3,5,10,17,3,0,1356,0,1,1,0,0,0,0
3,0,2,0,1,0,5,1,182,3,5485,1,1,20,40,5,1,3449,0,1,1,0,0,0,1
0,0,3,0,0,2,4,1,182,3,58,2,2,22,27,17,2,2336,1,1,1,0,1,0,1
2,0,0,0,3,1,4,1,289,2,1160,3,2,11,7,15,2,1713,1,1,1,0,0,0,0
3,1,0,3,0,1,4,2,240,1,1497,2,4,1,34,9,0,2055,1,1,1,0,1,0,0
1,1,1,1,1,2,4,1,105,0,70,1,5,17,22,13,2,1113,0,1,1,1,0,0,0
1,1,3,1,1,0,3,1,295,3,2750,3,3,2,50,0,1,4377,1,1,0,1,0,1,1
3,1,1,0,3,0,0,1,128,1,5220,0,4,22,29,20,2,2639,1,0,0,0,1,0,0
3,0,0,0,0,0,2,0,197,1,987,0,5,21,36,9,0,1612,1,1,0,0,1,1,0
2,0,3,3,0,0,5,1,80,3,1312,3,6,10,46,23,0,3636,1,1,0,0,0,0,0
3,1,0,3,3,2,4,1,237,2,11,0,4,5,34,23,2,2240,0,0,0,0,0,0,0
0,0,1,0,3,1,4,1,146,1,996,2,6,5,14,7,1,1348,0,1,1,0,1,1,0
2,1,3,3,1,2,4,1,160,2,75,0,2,5,20,7,2,1431,1,0,1,1,1,0,1
1,1,1,3,1,1,4,0,54,0,8,0,2,17,19,18,0,892,1,0,0,1,0,0,1
1,1,2,2,1,1,4,1,255,3,1047,0,6,8,36,2,2,3112,1,0,0,0,0,0,1
0,1,3,1,3,1,4,1,295,3,1433,0,5,3,45,15,1,2865,1,1,1,1,1,1,1
0,0,2,0,3,0,2,2,56,2,242,2,3,5,37,13,0,1907,0,0,1,0,1,1,0
1,0,0,3,3,0,5,0,56,2,9598,0,2,17,33,10,1,5677,0,1,1,0,1,1,0
3,1,0,2,3,1,4,1,93,0,1735,0,2,5,42,3,1,1272,1,1,0,0,1,1,1
2,1,1,1,2,0,2,2,298,0,867,1,5,16,6,11,1,1459,1,1,1,1,1,0,1
1,1,3,2,0,1,4,2,216,2,1091,3,6,1,18,11,2,3171,1,0,1,1,1,0,1
0,1,2,1,2,0,0,2,68,1,9169,3,2,11,0,13,1,3357,1,0,0,0,0,0,0
0,0,0,0,0,0,5,1,206,3,5286,1,1,5,29,21,2,4313,0,0,1,1,0,1,0
1,0,2,3,2,1,4,2,259,1,447,0,1,5,42,7,0,1762,0,0,1,1,1,1,1
0,0,0,1,0,1,4,2,132,1,189,3,5,9,50,12,2,2108,1,0,0,1,0,1,1
1,1,2,3,1,1,4,1,149,0,89,0,2,21,20,23,2,874,0,1,1,0,1,1,0
2,1,0,1,0,0,0,1,67,2,9025,1,4,15,25,8,1,4571,1,0,0,0,1,1,0
3,0,2,2,0,0,5,0,87,2,6946,0,6,14,45,19,2,3936,0,1,1,0,0,1,0
0,1,3,1,1,0,0,2,298,3,4007,2,6,9,36,19,2,4129,0,1,1,0,1,1,0
2,0,3,0,2,2,4,1,110,2,35,0,2,21,31,22,1,1717,1,0,1,0,1,1,0
2,0,1,0,1,0,1,1,111,2,2763,0,7,16,33,14,0,1895,0,0,1,1,0,0,1
1,1,3,2,0,0,3,2,53,2,9300,2,1,9,38,21,2,5635,0,1,1,1,1,0,0
0,1,1,1,3,2,4,2,214,0,67,3,3,7,8,6,0,1306,1,0,1,1,0,1,0
2,0,3,0,1,0,2,2,163,0,2555,3,7,16,0,19,2,1790,0,0,0,1,1,0,0
3,1,3,0,2,1,4,2,84,2,165,3,2,22,36,10,0,1772,1,1,1,1,1,0,1
1,1,3,2,0,2,4,0,74,0,53,1,4,23,7,1,1,1305,0,0,1,1,1,0,1
0,0,3,2,3,2,4,1,91,0,52,0,7,19,12,8,2,901,0,0,1,0,0,0,1
3,1,1,1,2,0,5,0,210,0,8728,0,4,21,29,21,0,4179,1,1,0,1,1,1,0
2,0,3,1,2,0,5,2,53,3,9686,1,7,20,40,1,2,6185,0,0,0,1,0,1,0
3,0,0,1,1,2,4,1,85,0,51,0,1,15,1,15,0,460,0,0,1,0,0,0,1
1,0,3,2,1,2,4,1,81,0,4,3,2,12,34,19,1,1165,0,1,0,0,0,0,1
0,1,0,2,1,0,2,0,72,1,6041,2,5,7,38,2,2,2186,1,1,1,1,1,0,0
1,0,3,1,0,0,0,1,168,1,792,3,6,9,49,7,1,2701,0,0,1,0,1,1,0
2,1,1,3,0,0,3,0,57,3,6179,1,6,14,42,8,0,5037,1,1,1,0,0,1,1
0,0,2,3,1,0,1,0,66,3,6458,1,5,14,23,13,1,1726,1,1,1,1,0,0,1
0,1,0,1,1,0,1,0,94,0,3657,0,3,11,33,24,0,796,1,1,0,0,0,0,0
0,1,2,2,1,2,4,0,51,2,25,1,6,13,4,20,0,1382,1,1,0,1,0,0,1
2,0,2,1,3,0,0,1,255,2,5201,2,3,2,31,7,2,3161,1,0,1,1,0,1,0
0,0,3,0,2,1,4,1,112,0,1110,1,5,13,28,21,2,1206,0,0,1,0,1,0,1
1,1,1,0,3,0,2,1,162,1,1354,1,2,23,32,21,2,2179,0,0,0,1,0,1,0
2,0,3,0,2,2,4,1,222,0,94,0,5,17,9,14,0,927,1,1,0,0,0,1,1
0,1,1,2,3,1,4,2,84,0,1617,2,3,18,12,13,0,1427,0,0,1,1,1,0,0
1,0,2,1,1,2,4,2,220,1,69,2,3,18,10,23,1,1310,1,0,1,1,0,0,1
1,0,3,3,1,0,5,1,297,0,9580,2,4,5,36,21,0,5229,1,1,1,1,1,0,0
1,0,2,1,0,0,1,2,292,3,1969,0,3,4,15,12,2,2851,0,1,0,1,0,0,1
0,0,1,3,2,0,0,2,190,0,2877,2,7,5,26,16,0,2210,1,0,1,0,1,1,1
0,0,0,0,0,0,5,2,273,0,9486,1,7,23,48,16,0,5302,0,0,1,0,1,0,0
0,0,0,3,2,0,3,2,139,2,6031,1,6,22,4,12,0,3157,1,0,1,0,1,1,1
0,1,0,0,2,2,4,0,86,1,84,2,3,24,47,15,0,1948,0,0,0,1,1,0,1
1,0,2,0,1,0,0,0,241,2,2772,1,3,23,1,15,1,2028,0,1,1,1,1,1,1
3,0,2,1,3,1,4,1,194,0,1360,3,7,11,19,18,0,1727,0,0,1,1,0,0,0
0,1,1,3,1,1,4,0,237,3,784,0,1,3,22,13,0,2175,1,0,0,0,0,0,0
0,0,3,0,1,0,3,0,153,1,615,1,1,13,10,24,0,762,1,1,0,0,1,0,0
0,0,3,2,0,1,4,1,133,3,693,0,2,2,20,2,1,2126,1,0,1,0,1,1,0
1,1,0,2,1,1,4,1,148,1,291,1,4,21,32,16,0,1680,0,1,1,0,0,1,0
2,0,2,1,2,0,2,0,83,3,943,2,3,18,45,5,2,2644,1,1,0,1,0,1,0
3,0,1,3,3,2,4,0,184,3,73,2,3,5,7,14,0,1809,1,1,0,1,1,1,1
1,0,1,0,0,1,4,1,186,0,70,0,4,13,26,13,2,1481,0,1,0,0,1,1,1
2,0,1,2,2,0,2,0,219,0,5196,3,6,7,11,20,2,2520,0,0,1,1,1,0,0
2,0,3,2,2,1,4,2,109,2,403,1,6,17,21,16,0,2051,1,0,0,1,0,0,1
0,1,2,2,2,2,4,2,102,2,7,0,3,13,7,20,0,1632,1,0,1,0,0,1,0
2,1,2,0,0,0,0,0,151,3,1078,0,2,1,40,7,1,2990,1,1,0,0,1,0,1
3,0,2,2,3,1,4,2,134,3,1550,3,6,0,41,22,2,2757,1,0,1,0,1,0,0
2,0,2,1,0,1,4,2,174,3,1610,2,5,6,40,22,0,3378,0,1,0,1,0,0,1
3,0,1,3,3,1,4,2,115,0,730,0,1,17,16,21,1,942,0,1,1,1,1,1,0
3,1,0,2,3,1,4,0,281,0,1779,1,4,9,20,15,1,1334,1,1,0,1,0,0,0
1,1,1,2,3,2,4,1,164,2,51,3,6,6,4,15,1,2423,1,1,1,0,1,0,1
2,1,2,1,1,0,2,0,252,3,4490,2,1,2,36,8,2,3225,1,0,1,0,0,1,0
2,1,1,2,3,0,0,2,296,2,1283,1,6,20,6,23,1,2675,0,1,1,0,1,1,0
1,0,0,2,3,0,5,2,93,1,8521,3,1,7,34,11,0,4796,1,1,0,1,0,0,0
1,0,0,2,0,1,4,1,227,0,1849,1,4,7,46,12,1,2274,0,1,1,1,1,0,0
3,1,0,0,0,2,4,2,294,3,58,0,5,11,30,22,2,3053,1,0,0,0,1,1,0
1,0,1,0,0,0,2,0,125,0,1896,2,6,20,36,5,0,2345,0,0,1,1,0,1,0
3,1,3,3,3,1,4,0,151,3,1932,1,5,16,32,24,1,2922,0,0,0,1,0,0,1
3,0,3,1,3,1,4,1,146,1,1527,2,5,2,36,11,0,1789,0,0,0,1,0,1,1
3,1,3,2,0,0,2,2,275,3,4688,3,1,10,16,23,1,3366,0,0,0,0,0,0,0
2,0,3,3,1,0,5,2,279,3,6843,3,2,24,13,14,2,4929,0,1,1,0,0,1,0
2,0,1,1,0,0,2,1,185,2,215,1,1,10,33,17,0,1989,0,1,1,0,0,0,1
1,0,1,0,1,2,4,0,136,1,39,2,1,1,22,8,2,922,0,1,0,0,0,1,1
0,1,0,3,1,1,4,2,87,3,772,0,5,5,47,24,0,2605,1,1,1,0,1,0,0
1,1,0,1,1,2,4,1,204,3,40,0,1,0,3,1,1,2148,1,1,0,0,0,1,1
2,0,3,1,2,0,1,2,260,2,7618,1,3,0,49,16,2,2290,1,0,0,0,1,1,0
2,1,0,3,2,2,4,1,161,0,72,2,7,5,7,8,0,1857,1,0,0,1,1,0,1
1,1,2,1,1,1,4,0,228,1,1951,2,5,5,15,22,1,1831,0,1,0,1,0,0,1
2,1,0,0,3,2,4,0,96,2,10,1,1,11,2,13,1,1276,1,1,1,1,1,0,0
3,1,2,0,2,2,4,0,262,1,29,0,7,6,24,7,1,1236,0,1,0,0,0,0,0
0,1,2,0,3,0,3,2,75,0,4791,1,6,7,17,10,2,2403,1,0,1,1,1,0,1
0,1,1,1,3,1,4,0,146,2,1515,3,4,23,1,10,1,1913,0,1,1,1,1,0,0
3,1,0,0,1,2,4,2,146,3,56,3,2,7,15,19,1,2164,1,0,1,0,0,0,0
1,1,1,2,0,1,4,2,125,0,1682,1,4,18,37,15,1,2150,1,1,1,1,1,1,0
2,1,1,0,0,2,4,1,118,1,70,0,7,12,15,21,2,1488,1,1,0,0,0,1,0
1,0,2,2,2,0,0,2,173,0,8537,0,5,2,12,2,0,3373,0,1,0,1,0,1,1
1,0,2,2,2,0,2,0,63,3,8666,2,1,6,7,18,1,3584,1,1,0,0,1,0,1
2,1,2,0,0,2,4,2,213,1,64,0,7,20,4,20,0,1936,0,0,1,1,1,1,0
2,1,1,3,1,2,4,2,65,1,45,3,7,23,42,19,1,2636,0,0,1,1,0,1,0
3,0,3,2,3,1,4,0,111,2,278,0,5,1,27,5,1,1560,0,0,0,0,1,1,0
2,0,0,1,2,1,4,0,183,2,1410,2,2,4,39,16,2,2080,0,1,0,1,1,0,1
3,1,2,1,1,1,4,2,206,0,1203,2,7,9,12,23,1,1315,1,1,0,0,0,1,0
1,1,0,0,1,1,4,0,220,2,769,2,5,6,4,8,1,2032,1,0,1,0,0,0,0
0,1,0,2,2,0,2,0,179,1,9331,1,3,22,42,5,1,3168,0,0,0,0,0,1,0
3,1,3,3,3,0,3,2,180,1,7981,0,5,24,50,4,1,3984,0,0,1,1,1,1,1
3,0,2,1,2,1,4,0,90,2,564,2,5,17,19,10,2,1666,0,0,0,1,0,0,1
0,0,1,0,0,2,4,1,210,0,34,1,3,13,2,11,1,1005,1,0,1,0,1,1,1
1,1,1,0,3,0,0,2,165,1,6585,3,6,4,3,11,2,4342,0,1,0,0,1,0,1
2,1,2,3,2,2,4,2,127,2,47,0,3,13,39,5,1,1985,1,1,1,1,0,1,0
3,0,3,3,3,1,4,0,187,2,1335,0,5,9,22,10,2,1495,0,1,0,1,1,1,0
2,0,3,3,2,1,4,0,161,0,1954,2,6,21,25,11,2,1623,0,1,0,0,1,0,1
0,0,0,1,1,0,5,1,79,0,6179,1,3,7,2,22,0,2578,0,1,0,0,1,1,1
2,0,0,3,0,0,0,0,112,0,8098,3,6,3,35,4,0,3942,0,1,1,1,1,0,0
0,1,1,1,2,2,4,0,179,2,27,2,5,21,10,8,2,1670,1,1,0,0,0,0,1
1,0,2,2,1,0,2,0,143,3,5877,2,7,20,46,20,2,4141,1,0,1,1,1,0,1
1,0,0,3,3,1,4,1,257,0,1582,1,1,15,4,13,0,1222,0,1,1,0,0,0,0
1,0,3,2,1,0,3,0,103,3,7686,3,4,3,27,3,2,4648,0,1,0,0,0,1,1
1,0,0,0,1,2,4,1,81,2,62,0,7,2,23,10,1,1663,0,1,1,1,0,1,1
0,1,2,2,2,1,4,2,117,1,764,0,6,5,28,5,1,1580,0,0,0,0,1,0,0
1,1,1,1,0,2,4,0,178,3,63,2,6,10,12,3,2,3504,0,0,0,1,0,0,1
1,0,0,0,1,1,4,1,198,2,1361,2,6,23,44,6,0,2588,0,1,0,1,0,1,0
2,1,1,2,0,0,1,0,122,2,4547,3,4,13,48,11,0,2871,0,1,0,0,1,0,0
2,1,1,0,0,2,4,1,260,3,97,1,4,17,37,12,0,3571,0,1,1,1,1,0,0
0,1,2,1,2,1,4,2,99,1,1346,0,7,18,4,1,2,1267,0,0,0,1,0,1,0
3,0,1,1,3,0,5,0,122,3,1669,1,4,9,6,1,1,2161,1,1,0,1,0,1,1
1,0,1,0,0,2,4,0,260,2,18,3,7,6,15,1,2,2558,1,1,1,1,1,1,1
3,0,3,2,1,2,4,1,251,0,11,1,1,2,3,14,2,306,1,1,0,0,0,1,1
2,1,2,1,2,0,0,0,68,3,887,3,5,15,50,14,2,3829,1,0,0,0,1,1,1
0,0,0,2,0,1,4,2,130,1,834,1,1,0,29,18,2,1610,0,0,1,1,1,0,1
2,1,3,3,0,0,0,0,92,2,3106,1,4,19,19,16,1,2956,1,0,1,1,0,1,0
0,1,2,1,0,0,0,2,54,3,2052,3,3,18,42,16,1,3907,0,0,0,1,1,0,1
2,0,2,1,0,1,4,0,101,3,360,0,3,3,13,5,0,2425,0,0,0,1,1,0,0
2,0,2,3,3,0,5,1,247,1,7023,2,7,2,1,11,1,4000,0,1,0,0,0,0,0
2,0,1,1,1,2,4,1,58,0,25,0,2,20,50,17,1,1204,0,1,0,0,1,1,1
1,1,1,1,2,0,2,2,197,2,1481,0,3,1,37,11,1,2637,1,1,1,0,0,1,0
3,1,0,0,1,0,3,0,83,2,2484,1,1,3,16,7,2,1733,1,0,0,0,1,1,1
2,0,0,2,2,1,4,1,221,2,1762,2,4,23,3,2,1,1857,0,0,0,0,1,0,1
2,1,0,2,2,2,4,1,212,2,27,0,5,20,38,11,1,2564,0,0,0,0,0,1,1
